Label,x,y,z
2256,98.794777,50.875378,123.817436
2257,98.873779,50.92131,118.326492
2258,98.904289,50.939106,116.804344
2259,98.872276,50.920494,118.68206
2260,98.845146,50.904659,120.159805
2261,98.93882,50.959118,114.650116
2262,98.976974,50.981365,113.045975
2263,98.939148,50.95937,114.925537
2264,98.904968,50.939438,116.48983
2265,98.974548,50.979885,112.787834
2266,99.034416,51.014774,110.576668
2267,99.032555,51.013653,110.439613
2268,99.112335,51.060036,107.241951
2269,99.222511,51.124096,103.391396
2270,99.346588,51.196236,99.657135
2271,99.48259,51.275314,96.094727
2272,99.644722,51.369583,92.413155
2273,99.838707,51.48238,88.558304
2274,100.058327,51.610077,84.759834
2275,100.310013,51.756416,80.952377
2276,100.597595,51.923634,77.136612
2277,100.925156,52.11409,73.313576
2278,101.301399,52.332855,69.443314
2279,101.725204,52.579285,65.57975
2280,102.189705,52.849373,61.810463
2281,102.696648,53.144135,58.121571
2282,103.266037,53.475204,54.390594
2283,103.905617,53.847095,50.589737
2284,104.603996,54.25317,46.808151
2285,105.360474,54.693035,43.047993
2286,106.173378,55.165695,39.310322
2287,107.040039,55.669632,35.595337
2288,107.957069,56.202843,31.902599
2289,108.920418,56.762985,28.231333
2290,109.92556,57.347431,24.580637
2291,110.967728,57.953411,20.949711
2292,112.02079,58.565723,17.407232
2293,113.094566,59.190079,13.902748
2294,114.223251,59.846359,10.311501
2295,115.375305,60.516224,6.723422
2296,116.617813,61.238693,2.926988
2297,98.614822,50.770798,157.591614
2298,98.614677,50.77071,158.003036
2299,98.614861,50.770813,157.532425
2300,98.614807,50.770794,157.62764
2301,98.614929,50.770859,157.345093
2302,98.614868,50.770824,157.499512
2303,98.614716,50.770729,157.917267
2304,98.614693,50.770725,157.951584
2305,98.614563,50.770645,158.371704
2306,98.61454,50.77063,158.479599
2307,98.614624,50.770676,158.195724
2308,98.614571,50.770649,158.347382
2309,98.614471,50.770592,158.768845
2310,98.614471,50.770592,158.792755
2311,98.614464,50.770584,158.881638
2312,98.614479,50.770599,158.777649
2313,98.614571,50.770649,158.337753
2314,98.61451,50.770615,158.623825
2315,98.614929,50.770859,157.356415
2316,98.614937,50.770863,157.336044
2317,98.614845,50.770809,157.551147
2318,98.614838,50.770805,157.570221
2319,98.614944,50.77087,157.315674
2320,98.614967,50.770874,157.295303
2321,98.614868,50.770821,157.512985
2322,98.614853,50.770813,157.532074
2323,98.614731,50.770748,157.840088
2324,98.614731,50.770744,157.857239
2325,98.614723,50.770737,157.87439
2326,98.614716,50.770737,157.891541
2327,98.61499,50.770889,157.24176
2328,98.614967,50.770878,157.288284
2329,98.614861,50.770817,157.527542
2330,98.614929,50.770859,157.375
2331,98.614983,50.770893,157.247986
2332,98.614967,50.770885,157.274277
2333,98.614906,50.770855,157.409225
2334,98.614708,50.770733,157.917465
2335,98.614723,50.770741,157.865723
2336,98.614815,50.770794,157.625793
2337,98.614754,50.770763,157.780411
2338,98.614716,50.770737,157.89917
2339,98.614723,50.770741,157.876297
2340,98.614777,50.770771,157.740982
2341,98.614624,50.770687,158.152374
2342,98.614624,50.770687,158.137161
2343,98.614563,50.770653,158.35849
2344,98.614563,50.770645,158.372406
2345,98.614639,50.770691,158.121933
2346,98.614639,50.770695,158.10672
2347,98.614571,50.770657,158.330658
2348,98.614563,50.770653,158.344574
2349,98.614502,50.770618,158.590607
2350,98.614502,50.770615,158.606552
2351,98.614471,50.770599,158.747818
2352,98.614502,50.770615,158.615372
2353,98.614502,50.770611,158.631332
2354,98.614471,50.770596,158.770844
2355,98.614616,50.770672,158.213226
2356,98.614616,50.770676,158.198013
2357,98.614555,50.770641,158.414154
2358,98.614548,50.770638,158.42807
2359,98.614616,50.770676,158.1828
2360,98.614624,50.770683,158.167587
2361,98.614555,50.770645,158.386322
2362,98.614555,50.770645,158.400238
2363,98.614502,50.770611,158.640182
2364,98.614494,50.770611,158.656113
2365,98.614464,50.770588,158.7939
2366,98.614494,50.770611,158.664963
2367,98.614479,50.770611,158.680908
2368,98.614464,50.770588,158.81694
2369,98.614395,50.770554,159.17746
2370,98.614395,50.770554,159.158783
2371,98.614349,50.770531,159.597656
2372,98.614349,50.770531,159.611023
2373,98.61441,50.770565,159.068878
2374,98.614403,50.770557,159.194885
2375,98.614342,50.770527,159.657486
2376,98.61438,50.77055,159.356064
2377,98.614342,50.770527,160.100632
2378,98.614342,50.770527,160.111343
2379,98.614349,50.770527,160.1185
2380,98.614395,50.770554,159.252106
2381,98.614395,50.770554,159.233444
2382,98.614349,50.770531,159.651154
2383,98.614349,50.770531,159.66452
2384,98.614395,50.770554,159.214783
2385,98.614395,50.770554,159.196136
2386,98.614349,50.770531,159.624405
2387,98.614349,50.770531,159.637787
2388,98.614349,50.770527,160.125656
2389,98.614349,50.770527,160.132797
2390,98.614349,50.770527,160.139938
2391,98.614349,50.770527,160.147079
2392,98.616219,50.771595,155.325516
2393,98.616272,50.771626,155.238098
2394,98.617149,50.772137,154.273392
2395,98.616585,50.771809,154.874649
2396,98.617264,50.772209,154.227173
2397,98.617462,50.772324,154.073425
2398,98.616371,50.771687,155.189713
2399,98.616417,50.771717,155.132477
2400,98.616875,50.771984,154.629562
2401,98.616577,50.771816,154.943985
2402,98.616447,50.771736,155.076706
2403,98.615601,50.77124,156.17897
2404,98.615639,50.771267,156.111069
2405,98.61599,50.771469,155.625885
2406,98.615761,50.771336,155.931839
2407,98.615997,50.771477,155.626663
2408,98.616058,50.771507,155.567001
2409,98.615723,50.771317,156.007355
2410,98.615677,50.77129,156.062027
2411,98.615334,50.771091,156.587845
2412,98.615356,50.771107,156.554749
2413,98.61544,50.771149,156.425644
2414,98.615349,50.771099,156.580017
2415,98.615364,50.771114,156.539063
2416,98.615517,50.771206,156.293167
2417,98.615425,50.771149,156.449203
2418,98.615219,50.77103,156.792038
2419,98.615234,50.771038,156.769119
2420,98.615112,50.770966,156.991348
2421,98.615105,50.770958,157.012985
2422,98.615196,50.771011,156.837875
2423,98.615204,50.771019,156.814957
2424,98.615089,50.77095,157.034637
2425,98.615074,50.770947,157.056274
2426,98.615326,50.771084,156.597717
2427,98.615356,50.771107,156.548096
2428,98.615051,50.770924,157.110413
2429,98.615074,50.770939,157.067581
2430,98.615196,50.771011,156.828751
2431,98.615112,50.770966,156.980942
2432,98.615051,50.770924,157.111282
2433,98.615059,50.770935,157.081589
2434,98.61512,50.770969,156.953796
2435,98.615585,50.771225,156.158966
2436,98.615547,50.77121,156.222061
2437,98.615623,50.771252,156.145828
2438,98.615776,50.771343,155.90538
2439,98.615257,50.771042,156.696991
2440,98.615295,50.771065,156.647354
2441,98.615067,50.770935,157.069672
2442,98.615036,50.770916,157.114227
2443,98.614983,50.770885,157.233719
2444,98.615257,50.771042,156.687531
2445,98.615089,50.77095,156.99202
2446,98.62056,50.774105,151.617279
2447,98.620689,50.774197,151.665054
2448,98.622612,50.775303,150.541687
2449,98.62133,50.774563,151.249985
2450,98.618347,50.772839,153.322021
2451,98.61837,50.772846,153.276093
2452,98.619781,50.773666,152.242004
2453,98.618904,50.773151,152.876404
2454,98.618347,50.77282,153.235748
2455,98.62439,50.77634,149.687317
2456,98.623665,50.775898,149.854736
2457,98.628777,50.778873,147.679459
2458,98.625671,50.777069,148.968781
2459,98.63205,50.780781,146.533829
2460,98.638855,50.784729,144.305359
2461,98.633522,50.781628,145.87767
2462,98.643394,50.787365,143.135864
2463,98.652534,50.792675,140.86879
2464,98.644897,50.788219,142.551285
2465,98.658485,50.796131,139.688324
2466,98.67025,50.802959,137.40834
2467,98.659813,50.796875,139.184479
2468,98.677788,50.807343,136.223511
2469,98.692528,50.815903,133.929932
2470,98.678711,50.80785,135.795578
2471,98.701897,50.821346,132.740494
2472,98.720032,50.831882,130.432617
2473,98.702171,50.821476,132.383362
2474,98.731476,50.838531,129.238327
2475,98.753487,50.851322,126.915352
2476,98.730812,50.83812,128.946594
2477,98.767296,50.859348,125.715965
2478,98.793724,50.874706,123.377098
2479,98.765381,50.858204,125.483948
2480,98.810219,50.884296,122.17234
2481,98.841675,50.902576,119.816734
2482,98.806694,50.882206,121.994026
2483,98.861244,50.913952,118.606331
2484,98.898407,50.935558,116.233093
2485,98.855675,50.910671,118.475365
2486,98.928726,50.953156,114.377686
2487,99.001694,50.995567,110.691216
2488,99.087395,51.045383,106.952324
2489,99.183899,51.101479,103.303879
2490,99.289688,51.162971,99.802002
2491,99.415787,51.236282,96.158943
